imdb_id,name,imdb_rating,meta_score,votes,genres,runtime,certificate,revenue,budget,release_date,language
tt4540710,Miss Sloane,7.5,64,55738,"Drama, Thriller",132,R,9101546,13000000,2016-12-09,English
tt2368619,Bastille Day,6.3,48,32458,"Action, Crime, Drama",92,R,14857808,20000000,2016-11-18,English
tt4731136,A Cure for Wellness,6.4,47,73671,"Drama, Fantasy, Horror",146,R,26620002,40000000,2017-02-17,English
tt1082807,The Belko Experiment,6.1,44,39880,"Horror, Thriller",89,R,11084630,5000000,2017-03-17,English
tt2304933,The 5th Wave,5.2,33,92933,"Action, Adventure, Drama",112,PG-13,109906372,38000000,2016-01-22,English
tt1355631,The Infiltrator,7,66,63219,"Biography, Crime, Drama",127,R,21011110,28000000,2016-07-13,English
tt2267968,Kung Fu Panda 3,7.1,66,121129,"Animation, Action, Adventure",95,PG,521170825,145000000,2016-01-29,English
tt2638144,Ben-Hur,5.7,38,38950,"Action, Adventure, Drama",123,PG-13,94061311,100000000,2016-08-19,English
tt3381008,The Brothers Grimsby,6.2,44,84602,"Action, Adventure, Comedy",83,R,25182929,35000000,2016-03-11,English
tt4721124,The Exception,6.8,60,9185,"Drama, Romance, War",107,R,834572,0,2017-06-02,English
tt4094724,The Purge: Election Year,6,55,82896,"Action, Horror, Sci-Fi",108,R,118587880,10000000,2016-07-01,English
tt4824302,Mother's Day,5.7,18,29881,"Comedy, Drama, Romance",118,PG-13,48782670,25000000,2016-04-29,English
tt1800302,Gold,6.7,49,52175,"Crime, Drama",120,R,14880939,20000000,2017-01-27,English
tt4443658,Better Watch Out,6.5,67,23861,"Comedy, Crime, Horror",89,R,176288,0,2017-10-06,English
tt2671706,Fences,7.2,79,89871,Drama,139,PG-13,64414761,24000000,2016-12-25,English
tt2547584,The Light Between Oceans,7.2,60,47887,"Drama, Romance",133,PG-13,25975621,20000000,2016-09-02,English
tt1540011,Blair Witch,5,47,38340,"Horror, Mystery, Thriller",89,R,45173154,5000000,2016-09-16,English
tt4139124,Keanu,6.3,63,42860,"Action, Comedy, Crime",100,R,20651333,15000000,2016-04-29,English
tt2937696,Everybody Wants Some!!,6.9,83,48871,Comedy,117,R,4644472,10000000,2016-04-07,English
tt2461150,Masterminds,5.8,47,46659,"Comedy, Crime",95,PG-13,29674699,25000000,2016-09-30,English
tt3416828,Ice Age: Collision Course,5.7,34,50969,"Animation, Adventure, Comedy",94,PG,408579038,105000000,2016-07-22,English
tt1292566,How to Be Single,6.1,51,76162,"Comedy, Drama, Romance",110,R,112343513,38000000,2016-02-12,English
tt3522806,Mechanic: Resurrection,5.7,38,69963,"Action, Adventure, Thriller",98,R,125729635,40000000,2016-08-26,English
tt2513074,Billy Lynn's Long Halftime Walk,6.2,53,19689,"Action, Drama, Sport",113,R,30930984,40000000,2016-11-18,English
tt1781827,Hands of Stone,6.6,54,13495,"Biography, Drama, Sport",111,R,4978353,20000000,2016-08-26,English
tt4302938,Kubo and the Two Strings,7.8,84,109093,"Animation, Action, Adventure",101,PG,69929545,60000000,2016-08-19,English
tt3691740,The BFG,6.4,66,71177,"Adventure, Family, Fantasy",117,PG,183288689,140000000,2016-07-01,English
tt1619029,Jackie,6.7,81,67750,"Biography, Drama, History",100,R,24270399,9000000,2016-12-02,English
tt3416532,A Monster Calls,7.5,76,73359,"Animation, Drama, Fantasy",108,PG-13,47309313,43000000,2017-01-06,English
tt2649554,Midnight Special,6.6,76,69513,"Drama, Mystery, Sci-Fi",112,PG-13,6212282,18000000,2016-04-21,English
tt4520364,Morgan,5.8,48,36686,"Action, Horror, Sci-Fi",92,R,8809407,8000000,2016-09-02,English
tt3960412,Popstar: Never Stop Never Stopping,6.7,68,49022,"Comedy, Music",87,R,9680029,20000000,2016-06-03,English
tt4129870,White Girl,5.7,65,8154,"Crime, Drama",88,Not Rated,200242,0,2016-12-01,English
tt4486986,All I See Is You,5.3,43,9252,"Drama, Mystery, Romance",109,R,678150,30000000,2017-10-27,English
tt4385888,20th Century Women,7.3,83,34092,"Comedy, Drama",119,R,7214806,7000000,2017-01-20,English
tt2241351,Money Monster,6.5,55,88743,"Crime, Drama, Thriller",98,R,93282604,27000000,2016-05-13,English
tt4196848,Mr. Church,7.6,37,23709,"Comedy, Drama",104,PG-13,685780,8000000,2016-11-11,English
tt1608290,Zoolander 2,4.7,34,61200,"Action, Comedy",101,PG-13,56722693,50000000,2016-02-12,English
tt4624424,Storks,6.8,56,51908,"Animation, Adventure, Comedy",87,PG,183388953,70000000,2016-09-23,English
tt2788732,Pete's Dragon,6.7,71,50504,"Action, Adventure, Comedy",102,PG,143695338,65000000,2016-08-12,English
